Country,Year,Price â‚¬/100kg
Austria,2000,241.43
Austria,2001,204.86
Austria,2002,225.99
Austria,2003,227.54
Austria,2004,230.69
Austria,2005,257.57
Austria,2006,271.14
Austria,2007,270.45
Austria,2008,289.31
Austria,2009,278.13
Austria,2010,280.97
Austria,2011,315.78
Austria,2012,349.25
Austria,2013,347.03
Austria,2014,336.75
Austria,2015,355.6
Austria,2016,345.55
Austria,2017,360.32
Austria,2018,361.4
Austria,2019,349.46
Austria,2020,342.35
Austria,2021,374.18
Austria,2022,452.98
Belgium,2000,228.33
Belgium,2001,197.42
Belgium,2002,202.95
Belgium,2003,214.43
Belgium,2004,210.75
Belgium,2005,221.3
Belgium,2006,262.37
Belgium,2007,251.3
Belgium,2008,268.84
Belgium,2009,272.55
Belgium,2010,266.37
Belgium,2011,285.88
Belgium,2012,319.66
Belgium,2013,326.89
Belgium,2014,313.43
Belgium,2015,323.93
Belgium,2016,312.97
Belgium,2017,317.52
Belgium,2018,321.79
Belgium,2019,319.3
Belgium,2020,308.94
Belgium,2021,332.33
Belgium,2022,437.26
Bulgaria,2007,191.11
Bulgaria,2008,204.77
Bulgaria,2009,209.61
Bulgaria,2010,216.88
Bulgaria,2011,248.82
Bulgaria,2012,253.91
Bulgaria,2013,248.69
Bulgaria,2014,255.08
Bulgaria,2015,245.44
Bulgaria,2016,234.59
Bulgaria,2017,215.19
Bulgaria,2018,246.77
Bulgaria,2019,270.14
Bulgaria,2020,254.76
Bulgaria,2021,260.34
Bulgaria,2022,345.09
Croatia,2013,311.56
Croatia,2014,304.67
Croatia,2015,317.24
Croatia,2016,311.18
Croatia,2017,311.29
Croatia,2018,314.99
Croatia,2019,316.73
Croatia,2020,307.39
Croatia,2021,334.07
Croatia,2022,441.84
Cyprus,2004,258.86
Cyprus,2005,252.69
Cyprus,2006,227.77
Cyprus,2007,225.93
Cyprus,2008,227.67
Cyprus,2009,228.6
Cyprus,2010,230.24
Cyprus,2011,249.81
Cyprus,2012,253.69
Cyprus,2013,259.46
Cyprus,2014,259.28
Cyprus,2015,237.83
Cyprus,2016,226.18
Cyprus,2017,229.05
Cyprus,2018,230.83
Cyprus,2019,228.86
Cyprus,2020,252.01
Cyprus,2021,255.32
Cyprus,2022,253.42
Czechia,2004,179.78
Czechia,2005,202.33
Czechia,2006,222.34
Czechia,2007,221.62
Czechia,2008,245.2
Czechia,2009,235.44
Czechia,2010,241.73
Czechia,2011,267.38
Czechia,2012,293.42
Czechia,2013,285.41
Czechia,2014,262.77
Czechia,2015,273.04
Czechia,2016,267.36
Czechia,2017,280.91
Czechia,2018,287.93
Czechia,2019,279.74
Czechia,2020,261.42
Czechia,2021,289.44
Czechia,2022,377.0
Denmark,2000,247.74
Denmark,2001,220.63
Denmark,2002,222.97
Denmark,2003,226.81
Denmark,2004,233.94
Denmark,2005,259.6
Denmark,2006,285.35
Denmark,2007,269.27
Denmark,2008,288.13
Denmark,2009,269.95
Denmark,2010,287.54
Denmark,2011,322.12
Denmark,2012,354.47
Denmark,2013,357.44
Denmark,2014,340.06
Denmark,2015,351.52
Denmark,2016,344.32
Denmark,2017,355.16
Denmark,2018,353.28
Denmark,2019,331.97
Denmark,2020,319.99
Denmark,2021,345.86
Denmark,2022,465.38
Estonia,2004,139.36
Estonia,2005,167.99
Estonia,2006,186.86
Estonia,2007,191.89
Estonia,2008,211.39
Estonia,2009,215.55
Estonia,2010,222.47
Estonia,2011,230.83
Estonia,2012,278.08
Estonia,2013,279.62
Estonia,2014,250.23
Estonia,2015,240.32
Estonia,2016,256.11
Estonia,2017,277.84
Estonia,2018,270.26
Estonia,2019,259.67
Estonia,2020,252.55
Estonia,2021,267.6
Estonia,2022,400.21
European Union,2000,263.44
European Union,2001,230.69
European Union,2002,240.79
European Union,2003,242.68
European Union,2004,250.46
European Union,2005,267.64
European Union,2006,285.08
European Union,2007,278.36
European Union,2008,297.97
European Union,2009,282.09
European Union,2010,285.35
European Union,2011,322.65
European Union,2012,360.95
European Union,2013,370.43
European Union,2014,355.36
European Union,2015,364.87
European Union,2016,352.81
European Union,2017,364.17
European Union,2018,365.17
European Union,2019,348.53
European Union,2020,342.04
European Union,2021,377.66
European Union,2022,469.26
Finland,2000,236.33
Finland,2001,237.5
Finland,2002,221.93
Finland,2003,216.14
Finland,2004,221.01
Finland,2005,231.32
Finland,2006,248.88
Finland,2007,256.97
Finland,2008,276.49
Finland,2009,279.89
Finland,2010,269.61
Finland,2011,283.55
Finland,2012,309.45
Finland,2013,335.69
Finland,2014,329.5
Finland,2015,315.87
Finland,2016,312.79
Finland,2017,329.35
Finland,2018,345.58
Finland,2019,345.21
Finland,2020,348.01
Finland,2021,351.59
Finland,2022,408.14
France,2000,283.9
France,2001,253.54
France,2002,250.29
France,2003,260.86
France,2004,280.45
France,2005,298.9
France,2006,314.51
France,2007,301.74
France,2008,309.55
France,2009,296.55
France,2010,299.57
France,2011,322.2
France,2012,367.73
France,2013,396.57
France,2014,369.8
France,2015,368.16
France,2016,348.24
France,2017,361.47
France,2018,360.61
France,2019,359.06
France,2020,356.38
France,2021,370.49
France,2022,485.44
Germany,2000,241.51
Germany,2001,183.66
Germany,2002,215.42
Germany,2003,210.29
Germany,2004,223.19
Germany,2005,255.58
Germany,2006,266.52
Germany,2007,262.37
Germany,2008,287.77
Germany,2009,271.66
Germany,2010,274.2
Germany,2011,314.79
Germany,2012,355.76
Germany,2013,350.75
Germany,2014,331.56
Germany,2015,340.92
Germany,2016,327.94
Germany,2017,345.2
Germany,2018,349.86
Germany,2019,328.91
Germany,2020,317.2
Germany,2021,374.62
Germany,2022,483.16
Greece,2000,310.78
Greece,2001,294.58
Greece,2002,285.53
Greece,2003,286.58
Greece,2004,288.72
Greece,2005,284.58
Greece,2006,306.31
Greece,2007,308.54
Greece,2008,316.35
Greece,2009,329.2
Greece,2010,340.05
Greece,2011,347.98
Greece,2012,352.89
Greece,2013,354.63
Greece,2014,371.55
Greece,2015,365.21
Greece,2016,362.34
Greece,2017,360.86
Greece,2018,351.15
Greece,2019,344.55
Greece,2020,358.84
Greece,2021,355.82
Greece,2022,377.03
Hungary,2004,197.89
Hungary,2005,205.05
Hungary,2006,206.62
Hungary,2007,209.08
Hungary,2008,216.02
Hungary,2009,207.42
Hungary,2010,203.48
Hungary,2011,242.96
Hungary,2012,266.77
Hungary,2013,249.61
Hungary,2014,217.72
Hungary,2015,213.46
Hungary,2016,196.93
Hungary,2017,219.74
Hungary,2018,215.24
Hungary,2019,218.73
Hungary,2020,193.55
Hungary,2021,190.57
Hungary,2022,229.7
Ireland,2000,223.46
Ireland,2001,209.11
Ireland,2002,213.51
Ireland,2003,212.24
Ireland,2004,234.24
Ireland,2005,256.91
Ireland,2006,266.23
Ireland,2007,261.66
Ireland,2008,303.76
Ireland,2009,274.13
Ireland,2010,277.91
Ireland,2011,329.3
Ireland,2012,373.43
Ireland,2013,386.05
Ireland,2014,344.95
Ireland,2015,381.59
Ireland,2016,358.26
Ireland,2017,364.44
Ireland,2018,366.91
Ireland,2019,336.52
Ireland,2020,339.43
Ireland,2021,384.43
Ireland,2022,456.68
Italy,2000,272.0
Italy,2001,234.14
Italy,2002,256.77
Italy,2003,259.61
Italy,2004,265.3
Italy,2005,278.98
Italy,2006,308.04
Italy,2007,295.75
Italy,2008,312.72
Italy,2009,305.65
Italy,2010,300.26
Italy,2011,328.27
Italy,2012,357.69
Italy,2013,362.5
Italy,2014,366.47
Italy,2015,363.78
Italy,2016,357.01
Italy,2017,393.25
Italy,2018,376.19
Italy,2019,373.59
Italy,2020,359.22
Italy,2021,383.09
Italy,2022,462.53
Latvia,2004,128.96
Latvia,2005,156.24
Latvia,2006,153.75
Latvia,2007,157.48
Latvia,2008,188.5
Latvia,2009,177.66
Latvia,2010,170.3
Latvia,2011,206.0
Latvia,2012,239.55
Latvia,2013,227.11
Latvia,2014,191.24
Latvia,2015,190.81
Latvia,2016,195.96
Latvia,2017,218.55
Latvia,2018,237.63
Latvia,2019,228.31
Latvia,2020,227.43
Latvia,2021,268.43
Latvia,2022,358.82
Lithuania,2004,137.14
Lithuania,2005,164.78
Lithuania,2006,182.65
Lithuania,2007,173.66
Lithuania,2008,214.67
Lithuania,2009,198.31
Lithuania,2010,209.83
Lithuania,2011,252.0
Lithuania,2012,276.85
Lithuania,2013,271.37
Lithuania,2014,240.85
Lithuania,2015,241.92
Lithuania,2016,239.56
Lithuania,2017,258.61
Lithuania,2018,271.21
Lithuania,2019,256.63
Lithuania,2020,249.18
Lithuania,2021,277.46
Lithuania,2022,385.6
Luxembourg,2000,271.21
Luxembourg,2001,231.05
Luxembourg,2002,233.39
Luxembourg,2003,250.7
Luxembourg,2004,257.05
Luxembourg,2005,271.32
Luxembourg,2006,295.46
Luxembourg,2007,285.37
Luxembourg,2008,301.48
Luxembourg,2009,297.29
Luxembourg,2010,296.12
Luxembourg,2011,322.42
Luxembourg,2012,353.62
Luxembourg,2013,364.7
Luxembourg,2014,351.57
Luxembourg,2015,352.17
Luxembourg,2016,352.04
Luxembourg,2017,354.61
Luxembourg,2018,362.58
Luxembourg,2019,358.42
Luxembourg,2020,354.04
Luxembourg,2021,364.87
Luxembourg,2022,488.04
Malta,2004,322.41
Malta,2005,320.4
Malta,2006,349.16
Malta,2007,347.31
Malta,2008,330.57
Malta,2009,275.35
Malta,2010,271.55
Malta,2011,270.19
Malta,2012,326.35
Malta,2013,297.59
Malta,2014,284.11
Malta,2015,282.58
Malta,2016,263.01
Malta,2017,269.28
Malta,2018,290.61
Malta,2019,308.91
Malta,2020,300.67
Malta,2021,301.58
Malta,2022,368.46
Netherlands,2000,238.16
Netherlands,2001,165.06
Netherlands,2002,188.1
Netherlands,2003,196.95
Netherlands,2004,217.6
Netherlands,2005,245.98
Netherlands,2006,265.45
Netherlands,2007,250.1
Netherlands,2008,271.81
Netherlands,2009,262.74
Netherlands,2010,247.01
Netherlands,2011,279.25
Netherlands,2012,316.07
Netherlands,2013,318.1
Netherlands,2014,295.06
Netherlands,2015,304.29
Netherlands,2016,282.69
Netherlands,2017,294.99
Netherlands,2018,302.36
Netherlands,2019,315.22
Netherlands,2020,286.76
Netherlands,2021,345.68
Netherlands,2022,457.74
Poland,2004,170.61
Poland,2005,196.75
Poland,2006,210.4
Poland,2007,212.16
Poland,2008,234.64
Poland,2009,216.73
Poland,2010,225.56
Poland,2011,269.86
Poland,2012,306.67
Poland,2013,293.72
Poland,2014,285.12
Poland,2015,295.25
Poland,2016,285.56
Poland,2017,305.26
Poland,2018,316.16
Poland,2019,290.82
Poland,2020,279.19
Poland,2021,330.37
Poland,2022,455.05
Portugal,2000,267.75
Portugal,2001,259.91
Portugal,2002,275.34
Portugal,2003,282.19
Portugal,2004,254.94
Portugal,2005,257.09
Portugal,2006,304.8
Portugal,2007,313.19
Portugal,2008,289.44
Portugal,2009,300.99
Portugal,2010,295.33
Portugal,2011,292.93
Portugal,2012,312.09
Portugal,2013,314.6
Portugal,2014,329.75
Portugal,2015,326.84
Portugal,2016,325.11
Portugal,2017,327.5
Portugal,2018,341.38
Portugal,2019,339.76
Portugal,2020,324.78
Portugal,2021,334.42
Portugal,2022,424.42
Romania,2007,171.55
Romania,2008,207.11
Romania,2009,233.75
Romania,2010,226.23
Romania,2011,240.95
Romania,2012,252.95
Romania,2013,264.01
Romania,2014,261.5
Romania,2015,243.21
Romania,2016,224.16
Romania,2017,251.44
Romania,2018,281.18
Romania,2019,279.98
Romania,2020,281.37
Romania,2021,293.01
Romania,2022,369.56
Slovakia,2004,166.38
Slovakia,2005,188.91
Slovakia,2006,210.72
Slovakia,2007,211.77
Slovakia,2008,232.44
Slovakia,2009,222.89
Slovakia,2010,230.12
Slovakia,2011,245.37
Slovakia,2012,269.44
Slovakia,2013,257.03
Slovakia,2014,277.33
Slovakia,2015,285.47
Slovakia,2016,291.14
Slovakia,2017,289.55
Slovakia,2018,266.18
Slovakia,2019,276.84
Slovakia,2020,268.04
Slovakia,2021,263.47
Slovakia,2022,320.78
Slovenia,2004,193.84
Slovenia,2005,207.91
Slovenia,2006,238.47
Slovenia,2007,236.81
Slovenia,2008,251.33
Slovenia,2009,247.53
Slovenia,2010,244.66
Slovenia,2011,284.68
Slovenia,2012,316.93
Slovenia,2013,306.28
Slovenia,2014,302.12
Slovenia,2015,308.94
Slovenia,2016,296.57
Slovenia,2017,303.97
Slovenia,2018,311.92
Slovenia,2019,307.89
Slovenia,2020,283.85
Slovenia,2021,304.87
Slovenia,2022,390.14
Spain,2000,249.23
Spain,2001,216.73
Spain,2002,239.86
Spain,2003,236.37
Spain,2004,228.61
Spain,2005,241.34
Spain,2006,276.15
Spain,2007,273.9
Spain,2008,267.29
Spain,2009,264.18
Spain,2010,265.31
Spain,2011,297.89
Spain,2012,331.02
Spain,2013,341.37
Spain,2014,338.99
Spain,2015,333.61
Spain,2016,332.93
Spain,2017,342.25
Spain,2018,348.77
Spain,2019,337.31
Spain,2020,319.43
Spain,2021,344.24
Spain,2022,449.86
Sweden,2000,249.41
Sweden,2001,227.89
Sweden,2002,224.91
Sweden,2003,227.48
Sweden,2004,215.39
Sweden,2005,238.32
Sweden,2006,266.11
Sweden,2007,260.17
Sweden,2008,281.22
Sweden,2009,235.7
Sweden,2010,282.25
Sweden,2011,322.26
Sweden,2012,364.04
Sweden,2013,391.52
Sweden,2014,364.58
Sweden,2015,407.42
Sweden,2016,453.0
Sweden,2017,450.17
Sweden,2018,411.74
Sweden,2019,386.44
Sweden,2020,408.69
Sweden,2021,452.68
Sweden,2022,486.12
